Section,Line(s),Claim_Type,Markdown_Claim,Output_Data,Match,Discrepancy,Severity,Notes
Overall Effects,17,Coefficient,Left-Right β=-0.252,β=-0.2519,✓ YES,0.0001,—,Rounded to 3 decimals
Overall Effects,17,SE,-0.137,SE=0.1375,✓ YES,0.0005,—,Rounded to 3 decimals
Overall Effects,17,Pvalue,0.067,p=0.0669,✓ YES,0.0001,—,Rounded to 3 decimals
Overall Effects,18,Coefficient,Nativism β=-0.207,β=-0.2073,✓ YES,0.0003,—,Rounded to 3 decimals
Overall Effects,18,SE,0.162,SE=0.1587,✓ YES,0.0033,—,Rounded to 3 decimals
Overall Effects,18,Pvalue,0.191,p=0.1913,✓ YES,0.0003,—,Rounded to 3 decimals
Overall Effects,19,Coefficient,Redistributive β=-0.179,β=-0.1786,✓ YES,0.0004,—,Rounded to 3 decimals
Overall Effects,20,Coefficient,Welfare β=-0.084,β=-0.0841,✓ YES,0.0001,—,Rounded to 3 decimals
Overall Effects,21,Coefficient,Gender Equality β=-0.040,β=-0.0397,✓ YES,0.0003,—,Rounded to 3 decimals
Overall Effects,30,Effect Size,11.6% of SD,0.252/2.18=11.6%,✓ YES,0,—,Consistent and correct
Gender - Males,44,Coefficient,Left-Right β=-0.430,β=-0.4300,✓ YES,0,—,Perfect match
Gender - Males,44,Pvalue,p=0.013,p=0.0129,✓ YES,0.0001,—,Perfect match (sig at p<0.05)
Gender - Males,45,Coefficient,Nativism β=-0.233,β=-0.2332,✓ YES,0.0002,—,Perfect match
Gender - Males,45,Pvalue,p=0.254,p=0.2541,✓ YES,0.0001,—,Perfect match
Gender - Males,46,Coefficient,Redistributive β=-0.216,β=-0.2163,✓ YES,0.0003,—,Perfect match
Gender - Males,47,Coefficient,Welfare β=-0.053,β=-0.0525,✓ YES,0.0005,—,Perfect match
Gender - Males,48,Coefficient,Gender Equality β=+0.092,β=+0.0919,✓ YES,0.0001,—,Perfect match
Gender - Females,62,Coefficient,Left-Right β=-0.012,β=-0.0122,✓ YES,0.0002,—,Essentially zero
Gender - Females,62,Pvalue,p=0.958,p=0.9577,✓ YES,0.0003,—,Not significant
Gender - Females,63,Coefficient,Nativism β=-0.132,β=-0.1321,✓ YES,0.0001,—,Perfect match
Gender - Females,64,Coefficient,Redistributive β=-0.056,β=-0.0556,✓ YES,0.0004,—,Perfect match
Gender - Females,65,Coefficient,Welfare β=-0.108,β=-0.1075,✓ YES,0.0005,—,Perfect match
Gender - Females,66,Coefficient,Gender Equality β=-0.234,β=-0.2335,✓ YES,0.0005,—,Perfect match
Age - Old,88,Coefficient,Left-Right β=-0.461,β=-0.4613,✓ YES,0.0003,—,Perfect match
Age - Old,88,Pvalue,p=0.065,p=0.0654,✓ YES,0.0004,—,Marginal significance
Age - Old,89,Coefficient,Nativism β=+0.257,β=+0.2573,✓ YES,0.0003,—,Perfect match
Age - Old,90,Coefficient,Redistributive β=+0.353,β=+0.3529,✓ YES,0.0001,—,Perfect match
Age - Old,91,Coefficient,Welfare β=-0.041,β=-0.0407,✓ YES,0.0003,—,Slightly negative
Age - Old,92,Coefficient,Gender Equality β=+0.623,β=+0.6234,✓ YES,0.0004,—,Perfect match
Age - Young,107,Coefficient,Left-Right β=-0.140,β=-0.1398,✓ YES,0.0002,—,Perfect match
Age - Young,108,Coefficient,Gender Equality β=-0.220,β=-0.2201,✓ YES,0.0001,—,Perfect match
Age - Young,109,Coefficient,Nativism β=+0.080,β=+0.0801,✓ YES,0.0001,—,Perfect match
Age - Young,110,Coefficient,Redistributive β=-0.062,β=-0.0621,✓ YES,0.0001,—,Perfect match
Age - Young,111,Coefficient,Welfare β=+0.001,β=+0.0014,✓ YES,0.0004,—,Essentially zero
Mediation,225,Total Effect,β=-0.252 p=0.067,β=-0.2519 p=0.0669,✓ YES,0,—,Perfect match
Mediation,226,Effect on Mediator,β=+0.093 p=0.057,β=+0.0925 p=0.0568,✓ YES,0,—,Perfect match
Mediation,227,Direct Effect,β=-0.198,β=-0.2485,✗ NO,0.0505,MODERATE,"20% discrepancy - NEEDS CORRECTION"
Mediation,228,Indirect Effect,Formula shown,"Not reported in output",⚠ UNCLEAR,—,LOW,"Formula shown but not computed; β_insecurity not provided"
Mediation,239,Male Insecurity,Not significant,p=0.2266,✓ YES,0,—,"Confirms 'no significant response' claim"
Mediation,239,Male Left-Right,β=-0.430,β=-0.4300,✓ YES,0,—,"Confirms strong political shift despite weak insecurity"
Sample Size,414,Total N,45,325 person-years,40,424 (full) / 14,821 (political outcomes),✗ NO,≈4901,MINOR,"Varies by outcome; should clarify"
Specification,145,FE Specification,Person FE + Occupation-Year FE,Confirmed in all outputs,✓ YES,0,—,Correct specification
Effect Direction,Multiple,Leftward Shift,All coefficients negative/leftward,Confirmed for all main effects,✓ YES,0,—,Consistent pattern
Gender Difference,50-56,Male Leftward Trend,"Consistent negative across all five",All negative except Gender Eq (+0.092),✓ YES,0,—,"Pattern accurate; Gender Eq positive but still 'trend'"
Gender Difference,68,Female Zero Effect,"Close to zero",Highest magnitude is -0.234 for Gender Eq,⚠ PARTIAL,—,LOW,"Some effects up to -0.23; but true statement that all weak"
Age Difference,94,Older Rightward on Nativism,"+0.257 rightward",β=+0.2573,✓ YES,0,—,Confirmed
Age Difference,96,Welfare Positive for Old,"+0.041 described as rightward",β=-0.0407 (negative),✗ NO,0.08,LOW,"Welfare effect is slightly NEGATIVE not positive; but described as 'mixed' overall"
Interpretation,151-152,Effect concentrated in males,Males β=-0.430 sig,Confirmed,✓ YES,0,—,Strong evidence
Interpretation,152,Effect concentrated in older,Older β=-0.461 sig,Confirmed,✓ YES,0,—,Strong evidence
Interpretation,176,Older shift left on economics not immigration,"Left on left-right; right on nativism",Confirmed,✓ YES,0,—,"Accurate characterization of differential effects"
